,语料ID,产品名称,内容,年份,sn_ner,hb_ner
11,餐饮评论-1012,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,"还好吧。。。也不算贵也不算便宜…………
榴莲千层/榴莲雪媚娘2选1",2018,set(),set()
12,餐饮评论-1013,清香面包店（车田街店）,"太好了  太好吃  老板好  性价比高  在这买了很多次蛋糕
芭比娃娃卡通蛋糕（水果夹心）1个，约1.5磅，圆",2018,set(),set()
13,餐饮评论-1014,功夫鸡排（光华北路店）,"不厚道，一会过来，就成别人的了
小吃6选1，提供免费WiFi",2018,set(),set()
14,餐饮评论-1015,鲜饮时光（高州店）,"很大油烟味，寿司很少！！！！！
超值寿司套餐，建议3-4人使用",2018,set(),set()
15,餐饮评论-1016,喜相逢渝洲川菜酒楼（东方大道店）,"不错，味道还可以，就是放太多辣椒了
纸上烤鱼1份，提供免费WiFi",2018,set(),{'WiFi'}
16,餐饮评论-1017,喜相逢渝洲川菜酒楼（东方大道店）,"不错，很好吃，就是辣了一点，其他还行
正宗重庆烤鱼（约3斤）1份",2018,set(),set()
17,餐饮评论-1018,驰名湘菜馆,"味道不错，上菜速度快，价格公道
2-3人美味餐，提供免费WiFi",2018,set(),set()
18,餐饮评论-1019,甜在心扉千层蛋糕（茂名店）,"15块钱的味道和大小跟8.8的一样
榴莲千层蛋糕（土豪版）1份",2018,set(),set()
19,餐饮评论-1020,果之度（迎宾三路店）,"蛋糕还行
芒果组合套餐，建议单人使用",2018,set(),set()
20,餐饮评论-1021,旺角亭（为民店）,"我要的是招牌套餐，服务员给我原味的，价格不一样，感觉被忽悠了，这样很不爽。
休闲单人套餐，提供免费WiFi",2018,set(),set()
21,餐饮评论-1022,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,"好吃，2磅还能送货，就是刀碎了，应该是压坏了吧
栗子蛋糕1个，约2磅，圆",2018,set(),set()
22,餐饮评论-1023,小乔紫菜卷（小乔店）,"没有给酱，没什么味道，番茄酱沙拉酱都没有
日式鸡柳卷1份，提供免费WiFi",2018,set(),{'WiFi'}
23,餐饮评论-1024,清香面包店（车田街店）,"很好，好看又好吃！还送货上门！真心感谢帅哥老板！
水果忌廉蛋糕（3层）1个，约8磅，圆",2018,set(),set()
24,餐饮评论-1025,甜在心扉千层蛋糕（茂名店）,"态度差，服务态度有待提高，蛋糕味道还行！
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",2018,set(),set()
25,餐饮评论-1026,盛香烧鹅（东方市场店）,"我是回头客，又是点叉烧饭，特别好吃，分量十足，还给我来了两碗例汤，没有因为我是美团客而减少分量，服务阿姨很周到，特别的热情，令人有一种在家的感觉，回味无穷，让人流连忘返，下次还会光顾，真的太好吃了！！！ #叉烧饭# #烧鹅饭# #烧鸭饭，# #烧鸭饭# #青菜#
主食3选1，有赠品",2018,"{'美', '团客'}",set()
26,餐饮评论-1027,盛香烧鹅（东方市场店）,"叉烧饭很好吃，合我口味，环境不错！
主食3选1，有赠品",2018,set(),set()
27,餐饮评论-1028,优之品西点,"上次吃了豆乳，这次看到芒果也留口水，买了试试。芒果好吃，整个盒子吃起来甜而不腻，口腔充满芒果香味，好吃！
蛋糕2选1，提供免费WiFi",2018,set(),{'WiFi'}
28,餐饮评论-1029,优之品西点,"我买了两个豆乳盒子，很好吃，又香，感觉很细腻，甜度刚刚好！很喜欢吃，一下子消灭了两个，当晚餐了
蛋糕2选1，提供免费WiFi",2018,set(),set()
29,餐饮评论-1030,优之品西点,"在店里买了豆乳盒子立即就试吃了，非常好吃的植物奶油水果盒子！赶紧又美团了二个！
蛋糕2选1，提供免费WiFi",2018,set(),{'WiFi'}
30,餐饮评论-1031,优之品西点,"芒果盒子非常好吃，芒果清甜、奶油一点也不腻！超喜欢，感谢店家的美食！
蛋糕2选1，提供免费WiFi",2018,set(),{'WiFi'}
31,餐饮评论-1032,旺角亭（为民店）,"不错，好好味！
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
32,餐饮评论-1033,旺角亭（为民店）,"不错，好好味！
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
33,餐饮评论-1034,旺角亭（为民店）,"不错，好好味！
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
34,餐饮评论-1035,旺角亭（为民店）,"不错，好好味！
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
35,餐饮评论-1036,旺角亭（为民店）,"不错，好好味！
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
36,餐饮评论-1037,甜在心扉千层蛋糕（茂名店）,"难吃死了。差差差差。。。。。。
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",2018,set(),set()
37,餐饮评论-1038,甜在心扉千层蛋糕（茂名店）,"让写上字也没写，榴莲极少，偏甜，不好吃。
榴莲千层蛋糕，约2磅，8寸1份",2018,set(),set()
38,餐饮评论-1039,优之品西点,"嫩滑不腻的奶油，香甜的芒果蛋糕，很赞！多次回购！儿子很喜欢这家奥尔良西多士，很……好吃！全五分支持！期待更多新品。
蛋糕2选1，提供免费WiFi",2018,set(),"{'WiFi', '奥尔良西多士'}"
39,餐饮评论-1040,优之品西点,"蛋糕新鲜好吃，尤其是雪棒和抹茶慕斯。
蛋糕2选1，提供免费WiFi",2018,set(),set()
40,餐饮评论-1041,小乔紫菜卷（小乔店）,"还行吧，回头客了。
北海道八爪鱼1份",2018,set(),set()
41,餐饮评论-1042,旺角亭（为民店）,"挺好的哇 男票说很好吃 一直说他学校对面有一家手卷很好吃 要带我去 一直没机会 今晚就给他订了这个当晚饭嘻嘻
大胃王单人套餐，提供免费WiFi",2018,set(),set()
42,餐饮评论-1043,驰名湘菜馆,"做得挺大份的，但是拿回来后一打开菜好少。都是水同配菜。
2-3人美味餐，提供免费WiFi",2018,set(),{'WiFi'}
43,餐饮评论-1044,甜在心扉千层蛋糕（茂名店）,"蛋糕还可以，但是这么光秃秃的，不说装饰了，连个生日快乐牌都没有，呵呵了，心情都减半
榴莲千层蛋糕，约2磅，8寸1份",2018,set(),set()
44,餐饮评论-1045,甜在心扉千层蛋糕（茂名店）,"以为好大的，结果失望了……分量应该不够
土豪版超多榴莲千层蛋糕(5层榴莲果肉)约4.5磅1份",2018,set(),set()
45,餐饮评论-1046,甜在心扉千层蛋糕（茂名店）,"还不错，买的土豪版，味道很足很好吃，普通版没吃过，比较推荐买这个土豪版
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",2018,set(),set()
46,餐饮评论-1047,盛香烧鹅（东方市场店）,"好吃！第三次去吃了，孩子也爱吃
主食3选1，有赠品",2018,set(),set()
47,餐饮评论-1048,甜在心扉千层蛋糕（茂名店）,"说实话这次买的奶油不够，榴莲不够，冰特别多，感觉又不新鲜，不满意，价钱也没便宜到哪里去。如果是八块九块也就认了，一分钱一分货，但是15块这么一块，就真的失望了，那次后再也没回头买过这家了
榴莲千层蛋糕（土豪版）1份",2018,set(),set()
48,餐饮评论-1049,优之品西点,"味道很清新，图案灵动可爱，儿子很喜欢
蛋糕2选1,约8英寸，圆形",2018,set(),set()
49,餐饮评论-1050,甜在心扉千层蛋糕（茂名店）,"榴莲蛋糕很好吃，那个脏脏包就很………………
约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形",2018,set(),set()
50,餐饮评论-1051,盛香烧鹅（东方市场店）,"实惠，店面最近扩大了，挺不错的
主食3选1，有赠品",2018,set(),set()
51,餐饮评论-1052,优之品西点,"还没吃呢，不过卖相不错。哈哈。。。。
蛋糕2选1，提供免费WiFi",2018,set(),set()
52,餐饮评论-1053,爱可咖啡馆（茂南店）,"老板们很热情，很舒服的沙发，环境很不错。饮品也不错，很喜欢。赞赞赞
饮品6选1，提供免费WiFi",2018,set(),{'WiFi'}
53,餐饮评论-1054,盛香烧鹅（东方市场店）,"就是好
主食3选1，有赠品",2018,set(),set()
54,餐饮评论-1055,盛香烧鹅（东方市场店）,"好
主食3选1，有赠品",2018,set(),set()
55,餐饮评论-1056,盛香烧鹅（东方市场店）,"非常
主食3选1，有赠品",2018,set(),set()
56,餐饮评论-1057,盛香烧鹅（东方市场店）,"又来了
主食3选1，有赠品",2018,set(),set()
57,餐饮评论-1058,优之品西点,"还不错，很香甜。一次性买了6个！！！
蛋糕2选1，提供免费WiFi",2018,set(),set()
58,餐饮评论-1059,盛香烧鹅（东方市场店）,"回头客
主食3选1，有赠品",2018,set(),set()
59,餐饮评论-1060,优之品西点,"蛋糕好漂亮，味道也好，口感很绵滑，她家店的面包也很好吃…(罒)
蛋糕8选1",2018,set(),set()
60,餐饮评论-1061,功夫鸡排（光华北路店）,"味道不错量也挺足的，当时好像还赠了饮料。
小吃6选1，提供免费WiFi",2018,set(),{'WiFi'}
61,餐饮评论-1062,盛香烧鹅（东方市场店）,"菜少了一点，不够吃，比其它地方少
主食3选1，有赠品",2018,set(),set()
62,餐饮评论-1063,茂名浪漫海岸温德姆酒店望海餐厅,"环境很棒，东南亚风情比得上泰国游的星级酒店。套餐分量比较足，而且不粗糙，口味还算不错，若是追求高品质的可能会觉得不和口味，给5分好评。温馨提示，方圆20公里基本上没吃的，性价比这里绝对超值，上图……
奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份",2018,{'东南亚'},{'泰国游'}
63,餐饮评论-1064,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,"老板娘态度很好，熟客了，东西新鲜！好吃
榴莲千层/榴莲雪媚娘2选1",2018,{'东西'},set()
64,餐饮评论-1065,旺角亭（为民店）,"朋友很喜欢这里的紫菜卷，还不错的宵夜之选
休闲单人套餐，提供免费WiFi",2018,set(),set()
65,餐饮评论-1066,旺角亭（为民店）,"朋友喜欢吃这里的紫菜卷 #原味奶茶#
休闲单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
66,餐饮评论-1067,旺角亭（为民店）,"朋友很喜欢这里的东西，这里的饮品还不错
美味单人套餐，提供免费WiFi",2018,{'东西'},set()
67,餐饮评论-1068,旺角亭（为民店）,"朋友很喜欢这里的东西，个人觉得有点腻
休闲单人套餐，提供免费WiFi",2018,{'东西'},set()
68,餐饮评论-1069,甜在心扉千层蛋糕（茂名店）,"我以为这个季节的榴莲不甜不好吃，拿回来试了一下，结果打脸了，奶油和榴莲的比例刚刚好，不油不腻，真心好吃
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",2018,set(),set()
69,餐饮评论-1070,爱丽丝音乐餐吧,"不错喔
双人超值饮品套餐，包间免费",2018,set(),set()
70,餐饮评论-1071,丰年面包店（茂南区店）,"家人说味道还不错，就是麻将太小了，有点尴尬
蛋糕12选1,约10英寸，圆形",2018,set(),set()
71,餐饮评论-1072,尊霸披萨,"好吃！榴莲披萨太香太好吃了，芝士也很香！比必胜客好吃多了，新开的店就在楼下，女儿很爱吃。
超值单人套餐，包间免费",2018,{'必胜'},set()
72,餐饮评论-1073,果之度（迎宾三路店）,"太小了，味道还行，团购便宜。值得品尝
榴莲千层切糕1份",2018,set(),set()
73,餐饮评论-1074,甜在心扉千层蛋糕（茂名店）,"好吃，全家的榴莲千层指定购买店
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",2018,set(),{'土豪'}
74,餐饮评论-1075,小乔紫菜卷（小乔店）,"一如既往支持本店紫菜卷，量多，好味
紫菜肉松卷1份，提供免费WiFi",2018,set(),{'WiFi'}
75,餐饮评论-1076,驰名湘菜馆,"上菜慢，味道一般，冲着酸菜鱼去的，一点酸味都没，在图上见到几块鱼就几块。。。
2-3人经典餐，提供免费WiFi",2018,set(),set()
76,餐饮评论-1077,清香面包店（车田街店）,"店主免费送货上门，蛋糕好吃，分量足，一天没吃完，放到第二天也很好吃！很实惠，四个人一次都吃不完！很满意！
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",2018,set(),set()
77,餐饮评论-1078,丰年面包店（茂南区店）,"栗子蛋糕挺好吃的，因为太激动所以没有拍照片一下子吃光了，然后服务态度也挺好，接电话的人声音挺好听的
2磅栗子蓉蛋糕1+2磅卡通蛋糕1",2018,set(),set()
78,餐饮评论-1079,优之品西点,"美美哒！便宜又好吃！已经是第二次买啦…下次再来
蛋糕7选1",2018,set(),set()
79,餐饮评论-1080,优之品西点,"很好吃，口感不错，位置很好找！
蛋糕2选1，提供免费WiFi",2018,set(),set()
80,餐饮评论-1081,小乔紫菜卷（小乔店）,"这里的紫菜卷非常的好吃卫生挺干净多
蟹柳海草紫菜卷1份",2018,set(),set()
81,餐饮评论-1082,甜在心扉千层蛋糕（茂名店）,"好喜欢吃这家的蛋糕，
约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形",2018,set(),set()
82,餐饮评论-1083,爱可咖啡馆（茂南店）,"老板们超级好，超级温柔的小姐姐。很喜欢这里，很舒服。饮品也好喝。赞
饮品6选1，提供免费WiFi",2018,set(),{'WiFi'}
83,餐饮评论-1084,小乔紫菜卷（小乔店）,"味道感觉比以前差点了，老板的笑容什么时候都没见有的。
蟹柳海草紫菜卷1份",2018,set(),set()
84,餐饮评论-1085,小乔紫菜卷（小乔店）,"一般般，期待服务还需要提高些。
日式蟹肉卷1份，提供免费WiFi",2018,set(),{'WiFi'}
85,餐饮评论-1086,甜在心扉千层蛋糕（茂名店）,"有点小啊。比我那个三磅的小好多。
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",2018,set(),set()
86,餐饮评论-1087,渔乐码头烤鱼牛蛙晚饭餐厅,"好食，味道唔错，我选的青椒味，很鲜的感觉，麻麻的，环境也好，干净温馨，居然有九只口味，那个百香果汁好好饮，三个人去食好抵手，还会再来
2-3人超值套餐",2018,set(),set()
87,餐饮评论-1088,旺角亭（为民店）,"服务好差，叫美团都不送的，也不打电话告知一声
大胃王单人套餐，提供免费WiFi",2018,{'美团'},{'WiFi'}
88,餐饮评论-1089,旺角亭（为民店）,"比较贵吧，味道不错，性价比不高，。。。
休闲单人套餐，提供免费WiFi",2018,set(),set()
89,餐饮评论-1090,功夫鸡排（光华北路店）,"超好
小吃6选1，提供免费WiFi",2018,set(),{'WiFi'}
90,餐饮评论-1091,功夫鸡排（光华北路店）,"还行 挺好吃的
小吃6选1，提供免费WiFi",2018,set(),{'WiFi'}
91,餐饮评论-1092,甜在心扉千层蛋糕（茂名店）,"多肉版的榴莲千层超棒，味道很好，榴莲味很浓。榴莲肉真的好多，吃起来好满足！如果团购再便宜一点就好了！
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",2018,{'土豪'},set()
92,餐饮评论-1093,爱可咖啡馆（茂南店）,"好地方但是消费较高 。。。。。。
爱可轰趴包场套餐1小时",2018,set(),set()
93,餐饮评论-1094,丰年面包店（茂南区店）,"因为急要，临时催单的，店家也尽量赶出给我，真感谢，辛苦了！价廉物美，甜度适中，非常适合。
4磅水果夹心蛋糕1个，约10英寸，圆",2018,set(),set()
94,餐饮评论-1095,甜在心扉千层蛋糕（茂名店）,"土豪加料很足，不错，以后就这家了
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",2018,{'土豪'},set()
95,餐饮评论-1096,爱可咖啡馆（茂南店）,"很多东西都真的很好吃 而且环境很好 适合小聚带男朋友去也挺好的哈哈 #西冷牛排# #肉酱意面# #鸡扒# #卡布奇诺# #西冷#
饮品6选1，提供免费WiFi",2018,{'东西'},set()
96,餐饮评论-1097,小乔紫菜卷（小乔店）,"很好吃，我很喜欢，下次和朋友一起去
蟹柳海草紫菜卷1份",2018,set(),set()
97,餐饮评论-1098,爱可咖啡馆（茂南店）,"菜都挺有特色的环境也很卫生就是麦太烂了
爱可轰趴包场套餐1小时",2018,set(),set()
98,餐饮评论-1099,爱丽丝音乐餐吧,"草莓味的miss kitty
双人超值鸡尾酒套餐，包间免费",2018,set(),set()
99,餐饮评论-1100,果之度（迎宾三路店）,"味道不错颜色不错老板不错环境不错
榴莲千层切件+粒粒芒果爽，建议单人使用",2018,set(),set()
100,餐饮评论-1101,瀛食精致料理,"#芒果寿司# #三文鱼厚切# #有机蔬菜沙拉# #寿司#
双人餐，提供免费WiFi",2018,set(),set()
101,餐饮评论-1102,盛香烧鹅（东方市场店）,"好评
主食3选1，有赠品",2018,set(),set()
102,餐饮评论-1103,盛香烧鹅（东方市场店）,"好评
主食3选1，有赠品",2018,set(),set()
103,餐饮评论-1104,小乔紫菜卷（小乔店）,"奶茶太甜，紫菜卷味道一般，估计下次不会选择消费了。
甜品2选1，提供免费WiFi",2018,set(),set()
104,餐饮评论-1105,鲜饮时光（高州店）,"二楼环境不错，个人觉得套餐A比较好吃，比较合本人胃口，总体不错
超值寿司套餐，建议3-4人使用",2018,set(),set()
105,餐饮评论-1106,鲜饮时光（高州店）,"这个套餐我觉得是最好吃的，推荐一下
双人餐A1份，提供免费WiFi",2018,set(),set()
106,餐饮评论-1107,鲜饮时光（高州店）,"饮料还可以，也挺多柠檬的，就是到后面有点苦
金桔柠檬1份，提供免费WiFi",2018,set(),{'WiFi'}
107,餐饮评论-1108,优乐堡（开发区店）,"经常吃这个，鸡肉卷和骨肉都很不错
超值汉堡单人餐，提供免费WiFi",2018,set(),set()
108,餐饮评论-1109,优乐堡（开发区店）,"性价比高，就这点就可以了()
滋味烤鸡双人餐，提供免费WiFi",2018,set(),{'WiFi'}
109,餐饮评论-1110,盛香烧鹅（东方市场店）,"慢到爆表，很失望，以后不想来了
主食3选1，有赠品",2018,set(),set()
110,餐饮评论-1111,优乐堡（开发区店）,"很好，来过很多次了，希望多搞优惠！每次都会买几份！
汉堡+鸡腿套餐，建议单人使用",2018,set(),set()
111,餐饮评论-1112,优乐堡（开发区店）,"很好，来过很多次了，希望多搞优惠！
汉堡+鸡腿套餐，建议单人使用",2018,set(),set()
112,餐饮评论-1113,爱丽丝音乐餐吧,"很不错呢
双人超值饮品套餐，包间免费",2018,set(),set()
113,餐饮评论-1114,清香面包店（车田街店）,"榴莲千层味道一如既往的好，价格又实惠！主要的是榴莲多，良心卖！ #水果忌廉夹心# #栗子蓉蛋糕# #榴莲千层蛋糕#
榴莲千层蛋糕1个，约2磅，圆",2018,set(),set()
114,餐饮评论-1115,鲜饮时光（高州店）,"不错呢
双人餐A1份，提供免费WiFi",2018,set(),set()
115,餐饮评论-1116,优乐堡（开发区店）,"服务周到，分量很足，环境不错。
汉堡+鸡腿套餐，建议单人使用",2018,set(),set()
116,餐饮评论-1117,尊霸披萨,"热热的水果好吃
披萨15选1，提供免费WiFi",2018,set(),{'WiFi'}
117,餐饮评论-1118,鲜饮时光（高州店）,"一杯奶茶还有8、9粒鱼蛋，性价比很高，店主很热情，速度很快。
一份咖喱鱼蛋+一杯珍珠奶茶，建议单人使用",2018,set(),set()
118,餐饮评论-1119,甜在心扉千层蛋糕（茂名店）,"蛋糕的味道还可以，价格蛮优惠的
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",2018,set(),set()
119,餐饮评论-1120,瀛食精致料理,"一个人去吃，这个套餐刚好，好好享受了午餐
套餐2选1，提供免费WiFi",2018,set(),{'WiFi'}
120,餐饮评论-1121,茂名浪漫海岸温德姆酒店望海餐厅,"味道一般，环境不错，价格还可以吧
奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份",2018,set(),set()
121,餐饮评论-1122,旺角亭（为民店）,"小孩喜欢吃
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
122,餐饮评论-1123,驰名湘菜馆,"上菜比较慢，味道很好吃
2-3人美味餐，提供免费WiFi",2018,set(),set()
123,餐饮评论-1124,爱可咖啡馆（茂南店）,"东西不好吃，上菜特别慢！太咸了
爱可单人扒餐，提供免费WiFi",2018,{'东西'},set()
124,餐饮评论-1125,渔乐码头烤鱼牛蛙晚饭餐厅,"性价比高
2-3人超值套餐",2018,set(),set()
125,餐饮评论-1126,茂香面包坊总店,"没给蜡烛，盘，叉，刀，什么都没有 ，太失望。
蛋糕2选1,约3磅，圆",2018,set(),set()
126,餐饮评论-1127,优之品西点,"口感很好，材料新鲜，价格实惠，下次还会再来光顾
蛋糕4选1,约3磅，圆形",2018,set(),set()
127,餐饮评论-1128,优之品西点,"蛋糕很好吃，奶油不甜腻
蛋糕4选1,约3磅，圆形",2018,set(),set()
128,餐饮评论-1129,甜在心扉千层蛋糕（茂名店）,"很好吃我和孩子很喜欢！
榴莲千层切件1个，约1件，三角形",2018,set(),set()
129,餐饮评论-1130,果之度（迎宾三路店）,"还好
榴莲千层蛋糕1个，约2磅，圆形",2018,set(),set()
130,餐饮评论-1131,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,"榴莲千层味道挺好。就是感觉比以前份量少了。不过还是一样好吃。
榴莲千层/榴莲雪媚娘2选1",2018,set(),set()
131,餐饮评论-1132,优乐堡（开发区店）,"鸡肉卷还是某华好吃，这里的鸡肉卷饼皮较硬。鸡腿超赞，又大又香，满满的肉汁！！！ #炸鸡腿#
汉堡+鸡腿套餐，建议单人使用",2018,set(),set()
132,餐饮评论-1133,小乔紫菜卷（小乔店）,"这家店的紫菜卷我吃的那次没什么味道，就是紫菜里面没有味道，口味也不是说很好吃，一般般吧，其他还可以。
百思黑米紫菜卷1份",2018,set(),set()
133,餐饮评论-1134,优之品西点,"价格实惠，味道超赞
蛋糕2选1,约8英寸，圆形",2018,set(),set()
134,餐饮评论-1135,小乔紫菜卷（小乔店）,"紫菜卷很好吃，卫生很干净，很满意
紫菜肉松卷1份，提供免费WiFi",2018,set(),{'WiFi'}
135,餐饮评论-1136,尊霸披萨,"味道一般，不推荐
2-3人套餐，包间免费",2018,set(),set()
136,餐饮评论-1137,优之品西点,"好吃，孩子很喜欢
蛋糕2选1，提供免费WiFi",2018,set(),{'WiFi'}
137,餐饮评论-1138,清香面包店（车田街店）,"不错 好吃又实惠 做蛋糕速度很快。
水果忌廉蛋糕（3层）1个，约8磅，圆",2018,set(),set()
138,餐饮评论-1139,功夫鸡排（光华北路店）,"还不错
小吃6选1，提供免费WiFi",2018,set(),{'WiFi'}
139,餐饮评论-1140,果之度（迎宾三路店）,"朋友说榴莲千层非常好吃 #榴莲千层蛋糕#
榴莲千层切糕1份",2018,set(),set()
140,餐饮评论-1141,渔乐码头烤鱼牛蛙晚饭餐厅,"东西不错，服务也周到。环境好
2-3人超值套餐",2018,{'东西'},set()
141,餐饮评论-1142,优之品西点,"还好吧，就是一点蛋糕加点芒果。
蛋糕2选1，提供免费WiFi",2018,set(),{'WiFi'}
142,餐饮评论-1143,小乔紫菜卷（小乔店）,"味道没有以前好吃，很一般，一般
紫菜肉松卷1份，提供免费WiFi",2018,set(),set()
143,餐饮评论-1144,小乔紫菜卷（小乔店）,"味道一般，态度超差，老板和老板娘不亲善，很沟屎，不知是不是家财万贯？惨过我欠他十万九千七咁个款？想不明白，做生意的人态度点可以咁差？1
脆皮热狗卷1份，提供免费WiFi",2018,set(),set()
144,餐饮评论-1145,甜在心扉千层蛋糕（茂名店）,"卧槽！这味道惊艳到了，里面居然是真的榴莲肉！好吃到没法用言语表达，绝对值得推荐！
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",2018,set(),set()
145,餐饮评论-1146,优之品西点,"超好吃，特别喜欢吃那芒果的蛋糕下次还会找你家订的。
蛋糕4选1,约3磅，圆形",2018,set(),set()
146,餐饮评论-1147,优之品西点,"蛋糕松软，挺好吃的。不错、不错。给100000000000000000个
蛋糕2选1,约8英寸，圆形",2018,set(),set()
147,餐饮评论-1148,小乔紫菜卷（小乔店）,"经常买，好吃！
日式鸡柳卷1份，提供免费WiFi",2018,set(),{'WiFi'}
148,餐饮评论-1149,优之品西点,"不错，定了十寸的咸奶油。妈妈很喜欢，咸咸地，不会很甜，水果很多，草莓吃的好过瘾。就是写字有点傻。。  本来想写，我的妈呀，健康快乐，  不知道店家为啥帮我后面多了个“吗”字  哈哈
100元代金券1张，除牛奶饮料外全场通用",2018,set(),set()
149,餐饮评论-1150,旺角亭（为民店）,"以前很喜欢吃的。现在也喜欢
大胃王单人套餐，提供免费WiFi",2018,set(),{'WiFi'}
150,餐饮评论-1151,甜在心扉千层蛋糕（茂名店）,"不错不错
榴莲千层蛋糕（土豪版）1份",2018,set(),set()
151,餐饮评论-1152,盛香烧鹅（东方市场店）,"这是我吃过最差的一次快餐，没有之一。给的烧鸭全是骨头和屁股肉。如图。
主食3选1，有赠品",2018,set(),set()
152,餐饮评论-1153,渔乐码头烤鱼牛蛙晚饭餐厅,"味道还不错，价格优惠。两个人吃份量很足。
2-3人超值套餐",2018,set(),set()
153,餐饮评论-1154,渔乐码头烤鱼牛蛙晚饭餐厅,"不错的，便宜好吃
100元代金券1张，可叠加",2018,set(),set()
154,餐饮评论-1155,小乔紫菜卷（小乔店）,"味道还不错，服务也好，下次还要来。
紫菜肉松卷1份，提供免费WiFi",2018,set(),set()
155,餐饮评论-1156,渔乐码头烤鱼牛蛙晚饭餐厅,"第一次去  点的清江鱼  超级小的鱼  也就一斤多   再去了内脏就没什么了   我吃了三块肉就没看见还有鱼肉了  两个人还没开始吃鱼肉就没了 下面火一加热鱼肉又散了  加不到  好小啊  点了几样配菜才吃饱  不会去吃了  有一点值得推荐吃的茄子挺长的   烤鱼的酱香味特别水  味道淡  没有汤汁的感觉  服务马马虎虎  刚进去呆了几分钟才有一个女孩过来点菜其他人都和没看见一样  尴尬
100元代金券1张，可叠加",2018,set(),set()
