,语料ID,产品名称,内容,年份,sn_ner,hb_ner
22,景区评论-1023,天堂湖温泉度假山庄,写了返款，没有返款，服务态度不好，水又凉，水又脏。,2018,set(),set()
23,景区评论-1024,崆峒岩风景区,很小的景区，看票价就知道了。到山顶看看山下的村子额，还是很漂亮的。,2018,set(),set()
24,景区评论-1025,海东度假村,地方挺大的，新开不久，服务到位，有些池没开，但总体满意。水质好,2018,set(),set()
25,景区评论-1026,湛江博物馆,虽然是湛江的一个地方性博物馆，不过馆藏多,2018,set(),set()
26,景区评论-1027,湛江海湾大桥,也有一些年头了的桥梁，不过建筑构造还是很坚固,2018,set(),set()
27,景区评论-1028,石根山,冬天比夏天美，山顶千里冰封，是南方人看霜的一个胜地,2018,set(),set()
28,景区评论-1029,金鹿园,哈哈哈哈哈哈哈哈哈哈()hiahiahia,2018,set(),set()
29,景区评论-1030,天马山生态旅游区,风景不错，就是比较偏，大草原上好冷啊，不过很好！,2018,set(),set()
30,景区评论-1031,瀛州公园,在江边上，公园不算太大，岭南风格，有牌坊，但是免费的，性价比高，比较适合跳跳广场舞啥的，对面都是吃饭的店，挺好的。推荐一下。,2018,{'岭南'},{'岭南'}
31,景区评论-1032,广垦（茂名）国家热带农业公园,个人觉得吧，还可以，就是地方太大，指示不不够清晰,2018,set(),set()
32,景区评论-1033,阳江春都温泉,环境不错，里面很大，水质很干净，值得一去,2018,set(),set()
33,景区评论-1034,御水古温泉旅游度假区,今天去超幸运，所有新池都开放了，环境优美，池水干净卫生，服务超赞，定时有服务员送上热姜茶，大人小孩都玩了很尽兴。以后还会常来！,2018,set(),set()
34,景区评论-1035,石根山,爬了三小时才到山顶，山顶很小，保护措施有点欠缺，感觉不小心就会坠落山崖。山上有滑道和玻璃道，都很好玩，玻璃道虽然不大，到对于没去过张家界玻璃桥的人还是蛮刺激的。,2018,{'张家界玻璃桥'},{'张家界玻璃桥'}
35,景区评论-1036,龙海天,湛江市区最近最长的海滩，海沙细幼清洁。,2018,set(),set()
36,景区评论-1037,沙扒湾,这里挺好的！去前订好住宿地方，适合游玩三天以上！沙滩很好！我们没有到月亮湾里面玩，公寓外沙滩更美，要小心，人员少在沙滩看风景的。,2018,{'月亮湾'},{'月亮湾'}
37,景区评论-1038,金鹿园,还好还好，感觉还可以，就是味道有点大,2018,set(),set()
38,景区评论-1039,石根山,风景不错，海拔挺高，爬得好高好累，不过还是挺值门票，尤其是那个滑道一定要尝试，另类的体验。至于玻璃栈道就感觉不值票价了，只有一个屋子的大小，一堆人挤着。,2018,set(),set()
39,景区评论-1040,天马山生态旅游区,用携程比较划算，现场门票得60元。没有去大草原听说来回至少3个小时而且现在冬天草没那么绿。。。好吧，如果不是特别有空的茂名市区乡亲们，还是别在过年的时候来回6个小时车程颠簸了。。。景区比较一般,2018,"{'携程', '大'}",set()
40,景区评论-1041,闸坡,一个字，美。但是感觉商业气息太重了，可能是中国的共性问题，海岸线很长，但是水有点脏，很期待地方政府能好好治理，从保护自然的角度出发，愿成为中国的马尔代夫,2018,set(),set()
41,景区评论-1042,天马山生态旅游区,景色可以，天气不错！适合休闲途步！,2018,set(),set()
42,景区评论-1043,石根山,一路上没怎么拍照，花了将近三小时登顶，下山花了一个多小时，适合喜欢运动的人，平时不怎么运动的人会比较辛苦，风景还是不错滴。,2018,set(),set()
43,景区评论-1044,天马山生态旅游区,很不错 ，山特别高，要去的早点去就差不多。8点去，然后12-1点才真正到山顶，还好在网上买的买票比较便宜。在门口买60不划算。,2018,{'山顶'},set()
44,景区评论-1045,天马山生态旅游区,不建议去玻璃栈道！没有很高！建议加强旅游区的管理，路口买零食的阿姨，会乱指路，要加强路牌的建设，注意搞好景区的卫生！,2018,{'玻璃栈道'},set()
45,景区评论-1046,放鸡岛生态旅游国际度假区,放鸡岛知道这个地方很久了，一直没想过要去呢，就过年这段时间在家里反正闲着也是闲着，想找个地方溜达溜达。上网一搜放鸡岛看了好多照片都挺不错的第二天就直奔过去了。首先天后宫与海螺广场附近一带的景色真的超赞，一定要走走的，先不要急着坐环岛车。之后去菠萝公园这段路程如果怕累的还是坐车吧 哈哈。章鱼保罗里面的画很艺术很多可爱的小鱼，也是值得去的地方。走完一圈最后推荐去鸡公石，一定要上去，朝海的那一边可以在那里坐好久，听着海浪声思考人生 反正这趟不枉此行。,2018,"{'海螺广场', '菠萝公园', '鸡公石', '天后宫', '放鸡岛'}","{'菠萝公园', '海螺广场', '天后宫'}"
46,景区评论-1047,天马山生态旅游区,很适合周末去踏青旅行，森林覆盖率高，负离子含量高，神清气爽。一路上都流水潺潺，还有南国大草原很神奇哦。,2018,{'南国大草'},set()
47,景区评论-1048,蓝袍湾,还是值得去的，人比较少，海鲜平易，环境安静，但住宿条件一般：性价比还是可以的，比较适合自驾游，或者一个人在那里面对大海发呆。,2018,set(),set()
48,景区评论-1049,天马山生态旅游区,天马山是值得一去的地方，很好玩 ^_^,2018,{'天马山'},{'天马山'}
49,景区评论-1050,石根山,很好玩，跟家人一起去的，唯一不好的是，整座山上都没一个厕所…难怪山上会有一股很大的屎尿味…刚好去的是下雨阴天，味道就更大…,2018,set(),set()
50,景区评论-1051,高州仙人洞景区,这景点确实不错，环境挺美的，那些攀爬设施增添了不少乐趣。花30块钱滑下来也是另一种体验。棒棒的。如果里面能增加一些引导地图就更好了。,2018,set(),set()
51,景区评论-1052,天马山生态旅游区,很好！虽然累！但是值得！夏天再去看小瀑布！！,2018,set(),set()
52,景区评论-1053,广东海洋大学,从遥感图像上看校园全景，非常美。,2018,set(),set()
53,景区评论-1054,苏二村,岭南建筑群落，值得走走看看，行万里路，了解各地特色。,2018,{'岭南'},set()
54,景区评论-1055,天堂湖温泉度假山庄,还是挺不错的，很多个池子，可以泡很久,2018,set(),set()
55,景区评论-1056,放鸡岛生态旅游国际度假区,淡季的放鸡岛很惬意，人少，可以独占景观不怕人挤屏，10点可进岛，建议找艳阳天，住一晚，就算不住的话也建议17点晚班船回。景点1鸡头奇石值得一去，2野菠萝园无敌大海景，3.4.都只需走马观花，坐个电瓶车是必须的，别走断腿影响心情。重头戏在5风情小镇，无敌沙滩，不要跑来跑去，慢慢和心爱的人在一起看走沙滩，堆沙沙，乱石旁抓螃蟹，看日落。晚班船有惊喜哦！,2018,"{'鸡头奇石', '放鸡岛'}",set()
56,景区评论-1057,石根山,石根山风景很好，是个度假旅游的好地方,2018,{'石根山'},{'石根山'}
57,景区评论-1058,阳江春都温泉,春都温泉依山傍水，环境优美，值得再次泡泡,2018,{'春都温泉'},{'春都温泉'}
58,景区评论-1059,中国南极长城站,长城站是我们在回程的最后一站 本来应该第一天就登陆的 但是由于天气原因一直拖到了最后 冒着遇到两个巨大风暴的风险 船长和探险队长还是决定让我们去看一下长城站 非常值得,2018,{'长城站'},{'长城站'}
59,景区评论-1060,天马山生态旅游区,这里风景挺不错的 有瀑布 景色优美山清水秀,2018,set(),set()
60,景区评论-1061,崆峒岩风景区,风景一般般，说好说不上，差吗也没那么差，毕竟门票22元，反正就这样，就那么一个山，不是很大，工作人员态度还可以。一个自然的风景洞，为何安了那么多神神佛佛在那，感觉就好像是进了寺庙一样！,2018,set(),set()
61,景区评论-1062,广东海洋大学,学校很美，也很大，典型的热带风情,2018,set(),set()
62,景区评论-1063,金沙湾海滨浴场,湛江应该是中国空气质量最好的城市之一，常常占据中央气象台公布的空气质量排行榜前三。金沙湾是湛江最美的海湾，夏天可以游泳，浴场很大，休闲躺椅在大大遮阳伞下排列整齐，成为沙滩的一道风景。海滨大道两旁四季鲜花盛开，体育雕塑气势如虹，来此前还有沙雕展，只是有点晚了，有些破损有些遗憾。现在不是夏季无法下海游泳，只有看着海面上沙鸥翔集，对岸坡头的奥林匹克场馆，海湾大桥以及五星级的希尔顿酒店，相映成趣。特别是希尔顿酒店像两只船帆，鼓足准备远航。,2018,"{'海湾大桥', '中央气象台', '奥林匹克场馆', '金沙湾', '海滨大道', '希尔顿酒店'}","{'海湾大桥', '中央气象台', '奥林匹克场馆', '金沙湾', '海滨大道', '希尔顿酒店'}"
63,景区评论-1064,高州仙人洞景区,可惜图很远，风景很好，适合中青年人来玩。一定要穿平底鞋呀，因为要登山，攀爬的比较多，风景很好，豆腐花才3元，风景也好。可惜入门风景缺乏打理，花草枯叶太多，不够整洁，如果能修整一下，就不止3A评分了。风景纯天然。仙人洞不知是人工还是天然的，太小，再大6倍就好了，这样景点就完美了。再加点人，搞几个定时土风貌表演，5A都可以。,2018,{'仙人洞'},{'仙人洞'}
64,景区评论-1065,天马山生态旅游区,17号中午11点左右和朋友一起到的天马山，大家都很开心，在门口就拍起照来，该地区的保安也很友好，帮我们照集体照，进到里面后，玩了玻璃桥，蝴蝶谷，然后去南国大草原，所路过的地方，山清水秀，溪水涓涓细流，空气清新，是天然氧吧，到达顶峰后，大伙都超兴奋，返程时已是4点多了，愉快的天马山之旅！,2018,"{'南国大草原', '蝴蝶谷', '玻璃桥', '天马山'}","{'南国大草原', '天马山'}"
65,景区评论-1066,吉兆湾,风大，浪大，水清，一个小时玩，其实就够了。人也不多,2018,set(),set()
66,景区评论-1067,阳江春都温泉,都温泉风景区，它北靠钩髻顶，四面环山，一水奔流，东临河表水库，地处花岗岩侵入隆起断层上升山区，生态原始，景色优美，空气清新，环境脱俗怡人。春都温泉属世界珍稀高热氡温泉，其氡元素可溶于水中，进入人体后，很快蜕变完，对机体不发生毒害，在机体内主要是靠射线起作用，调整神经功能，有清脂、催眠、镇静和镇痛作用常浴氡泉，能减肥，对风湿、高血压、神经衰弱等十多种慢**有显著疗效氡泉能改善人体内分泌功能，能消退表皮褐斑，使皮肤白皙、细腻。令男人强身健体，青春长驻；令女人月经顺畅，艳若桃花其水温高达79.4度，含氡量108.17马海，矿化度低，含多种人体必需的微量元素，水质清澈透明，无色无味无嗅，感观绝优，更可贵的是有悠久的浸浴使用历史和众口皆碑治病壮体的效果。春都温泉有四奇：山奇、水奇、石奇、景奇，令人叹为观止,2018,"{'河表水库', '春都温泉', '髻顶', '都温泉风景区'}",set()
67,景区评论-1068,天马山生态旅游区,爬了一天，累成，早上11点开始上山，2点到达苗寨，最后用了两个小时爬到大草原，虽然很累，但山顶的草原景色真心不错,2018,set(),{'苗寨'}
68,景区评论-1069,龙海天,龙海天距离市区很远，但是从市区到龙海天很多直达车，霞山，赤坎都有到龙海天的直达车，途中可以穿越东海岛。龙海天沙滩一望无际，从头到尾走下去可能需要大半天的时间了,2018,"{'东海岛', '龙海天沙滩', '霞山'}","{'东海岛', '龙海天沙滩', '霞山'}"
69,景区评论-1070,闸坡,其实这个小镇就是在海陵岛上面的正中心，平常这个地方是相当有名气的，但是现在海林岛整个岛开发出来的话，现在已经是比较少人过来这边了，因为没有豪华的大酒店。 吃东西也比较贵，而且警察抄车牌的情况也比较严重。 海鲜市场倒是比较好的。,2018,"{'海陵岛', '海林岛'}","{'海陵岛', '海林岛'}"
70,景区评论-1071,海滨公园游乐场,就是在海边的一个游乐场。有个摩天轮。个人认为并没有什么值得玩的地方。反而就在旁边的观海长廊很美。,2018,{'观海长廊'},set()
71,景区评论-1072,冼太庙,给冼太夫人烧香祭拜，就到茂名市电白区电城山兜。可以到洗太夫人墓碑前烧香祭拜。风景园林绿化不错，西南角种植花海，五颜六色，还有各种古代建筑 ，洗太夫人历史简介碑。。。。。,2018,{'电白区电城山兜'},set()
72,景区评论-1073,玉湖风景区,其实有本地人带去不用门票的，我就是本地人，上到那些高山看下面去也是很美,2018,set(),set()
73,景区评论-1074,湛江红树林国家级自然保护区,跟本不对外开放，骗人的，乘兴而去，败兴而归。,2018,set(),set()
74,景区评论-1075,海滨公园,湛江是廣東最南邊，海岸線長，這幾年大幅開發，海濱公園沿線有越來越多的休閒設施，加上海岸線有水筆仔等紅樹林生態區，是很多人聚集休憩的公共空間。,2018,{'海濱公園'},{'海濱公園'}
75,景区评论-1076,渔港公园,一下飞机先办理好入住手续，直奔渔港公园。风景非常漂亮，当时风还是比较大的，还乘游艇去远看一下军舰！有很多客军舰停泊在那里。,2018,{'渔港公园'},set()
76,景区评论-1077,鸳鸯湖公园,来阳江出差，在市政府办完事就住在附近的华邑酒店，挨着鸳鸯湖，鸳鸯湖是一个人工湖，但是面积挺大，绿化很好，有漠阳楼，游泳池，广场是休闲散步的好地方。,2018,"{'阳江', '漠阳楼', '华邑酒店', '市政府', '鸳鸯湖'}","{'阳江', '市政府', '华邑酒店', '鸳鸯湖'}"
77,景区评论-1078,御水古温泉旅游度假区,曲径通幽处，盘石是路标。眼前疑无路，转角又洞天。五棱与奔驰，皆为泡温泉。贫富虽有别，养生却无异。若非自驾游，交通很不便。本人非富有，此地却重游。,2018,set(),set()
78,景区评论-1079,霞山天主教堂,历史的痕迹，历史的记忆，历史铭记,2018,set(),set()
79,景区评论-1080,闸坡,闸坡最干净的沙滩，北洛湾水清沙细，风景独好！,2018,"{'北洛湾', '闸坡'}",{'北洛湾'}
80,景区评论-1081,广垦（茂名）国家热带农业公园,热带风光，一目了然。自然景色，扑面而来。他风景如画，水果园林，人工大棚。各种各样的瓜果疏菜，奇异的植物，休闲风格各异。实在是人工天然的朵朵奇花。,2018,set(),set()
81,景区评论-1082,维纳斯皇家温泉（广东阳西店）,服务态度很好，卫生很干净，很喜欢，下次还会来。。。。,2018,set(),set()
82,景区评论-1083,高州仙人洞景区,虽作为本地人，但未曾到过仙人洞。今次体验一下，超出意料：原生态景色，绿植茂盛，源溪而上，大小瀑布呈现，嶙峋溪石，流水洵洵，空气清新，负离子丰富，其中又加入许多互动设施，令行程加入欢乐的气氛。山顶的野杜娟开始盛开，不过要费力挑战到顶才可一见。曾三次到鼎湖山，绝对比美之，可推介。,2018,"{'仙人洞', '鼎湖山'}","{'仙人洞', '鼎湖山'}"
83,景区评论-1084,中国南极长城站,中国南极长城站真的很棒，去看看,2018,{'南极长'},{'南极'}
84,景区评论-1085,湛江海湾大桥,湛江市海湾大桥是粤西地区唯一经济发展大桥带动湛江交通运输发展中心城区规划建设工程！,2018,"{'湛江交通运输发展中心', '湛江市海湾大桥', '粤西'}","{'海湾大桥', '粤西'}"
85,景区评论-1086,硇洲岛,身为湛江人还是第一次来硇洲岛，。这里就好像一个静静地滋养的珍珠一样，安静，纯朴。没有过度的开发，不像其他景区商业味浓重，连一两个需要收费的门票都那么亲民（5元），这里是海鲜吃货和喜欢海钓者的天堂。,2018,{'硇洲岛'},{'硇洲岛'}
86,景区评论-1087,维纳斯皇家温泉（广东阳西店）,舒适，水质好，石板浴让人留连忘返！,2018,set(),set()
87,景区评论-1088,中国第一滩旅游度假区,跟朋友过来的，来了几天，住在这边酒店，沙滩海很看天气，天气好感觉整个景点都不一样，天气不好海水就很浑浊！特别要注意沙滩卖海鲜的大妈，都是死的，不新鲜还骗称！好些地方都低消，景区嘛理解，但是在上面海鲜大排档，海鲜也换，还不够称，称了就直接放了，也不问我要不要这么多，有点强制消费！后来在酒店楼下看到一家，也是酒店前台推荐的，说是一群年轻人开的，就跟朋友去试了试，菜味道还可以，分量也足，主要服务跟卫生好，也看到他们门口放着免费茶水，这点很不错，后来的几天都是在他们家吃，虾爱上蟹，大家可以去试试，不过价格比海鲜街的贵一点点，一分钱一份货吧，我还是愿意在这家吃，毕竟放心，卫生，都是年轻人不会偷奸耍滑！推荐大家天气好的时候来，吹海风真的不一样的感觉！！！,2018,{'沙滩海'},set()
88,景区评论-1089,海滨公园游乐场,穷游好项目，游乐场是建在海滨公园里的，门票是免票，但项目要掏钱，也不贵。值得一玩。尤其是摩天轮，基本俯视整个湛江。,2018,"{'湛江', '摩天轮', '海滨公园'}","{'湛江', '海滨公园'}"
89,景区评论-1090,蓝袍湾,很值得去的地方，拉网上午7点开始，九点到那里合适，拉地网准备收得网，下午也有，三点前到那里，和咸水矿温泉离得不远，这两个景点都值得推荐。,2018,{'咸水矿温泉'},{'咸水矿温泉'}
90,景区评论-1091,玉湖风景区,空气特别舒服清新，值得一家大小出来,2018,set(),set()
91,景区评论-1092,海滨公园游乐场,很好的休闲的好地方，可以玩耍，可以健身,2018,set(),set()
92,景区评论-1093,石根山,值得游玩的石根山，山顶一览众山小，强身健体！,2018,{'石根山'},{'石根山'}
93,景区评论-1094,天马山,感受万亩大草原风情与大自然融为一体的美丽风光。,2018,set(),set()
94,景区评论-1095,维纳斯皇家温泉（广东阳西店）,很好，喜欢这里，，，，，，，，，，，，，，，,2018,set(),set()
95,景区评论-1096,阳西青洲岛,水很清风景优美，岛上未开发保留着原貌，值得一去,2018,set(),set()
96,景区评论-1097,阳西青洲岛,比其他团购便宜，青州岛风景优美，海水干净又清澈，还有很多海胆，值得游玩。,2018,{'青州岛'},{'青州岛'}
97,景区评论-1098,湛江博物馆,去了 关门了……不大的博物馆都是时间太尴尬,2018,set(),set()
98,景区评论-1099,鹤地水库风景区,舒服，太阳有点大！舒心，开心！建议太阳不大可以过来游玩,2018,set(),set()
99,景区评论-1100,维纳斯皇家温泉（广东阳西店）,环境优美，设备一流，非常喜欢这个地方！,2018,set(),set()
100,景区评论-1101,石根山,风景不错，喜欢运动的人最佳选择。一定要登上顶峰才过瘾，不要半途缩骨。,2018,set(),set()
101,景区评论-1102,湛江红树林国家级自然保护区,好。。 。。乜。。。。乜丝好好,2018,set(),set()
102,景区评论-1103,鸳鸯湖公园,休闲好地方.............,2018,set(),set()
103,景区评论-1104,浮山岭风景区,风景区域还是可以的，自然大地。。。,2018,set(),set()
104,景区评论-1105,霞山天主教堂,湛江一个有历史意义的场所，在公园附近都可以过去看看,2018,set(),set()
105,景区评论-1106,沙扒湾,沙扒湾位于广东省阳江市阳西县西南部，三面临海，北面与陆地相连，沙巴镇是一个纯渔业镇，以前出差的时候去过，还出海去逛一圈，很美,2018,{'沙扒湾'},{'沙扒湾'}
106,景区评论-1107,广东海洋大学,美丽的校园，宁静的环境，学习的好地方,2018,set(),set()
107,景区评论-1108,天马山生态旅游区,山顶必去，但山路崎岖，很滑，老人小孩有难度， 推荐路线，入口左侧直达大草原的路，一直走到大草原约两小时，大草原下来再去苗塞和蝴蝶谷，约两小时，而且省力,2018,"{'苗塞', '蝴蝶谷', '草原'}",{'蝴蝶谷'}
108,景区评论-1109,阳西咸水矿温泉,阳西咸水矿温泉度假村位于 广东省阳西县东湖生态开发区内，距广州240公里，毗邻325国道，离广湛高速织篢出口仅3公里。拥有300多万平方米的自然园林，60多万平方米的温泉 区域，20多万平方米的湖景水系。山庄内绿树成荫，湖水清澈，四季都有鹭鸟翔集，是天然的绿色氧吧。阳西咸水矿温泉旅游度假山庄倚岭伴湖而生，打造以咸水矿温泉为核心，生态旅游以及完善的食、住、娱、购等配套设施于一体的的温泉养生旅游度假区。棒！,2018,"{'开发区', '广湛高速织篢', '阳西咸水矿温泉度', '东湖', '阳西咸水矿温泉旅游度假', '325国道'}",{'阳西咸水矿温泉度假村'}
109,景区评论-1110,鸳鸯湖公园,鸳鸯湖公园在阳江市东边，是一个很好的观光公园，公园占地面积不小，非常适合骑自行车游玩，公园湖里面的鱼各式各样，五颜六色，个人感觉挺好的。,2018,{'鸳鸯湖公园'},{'鸳鸯湖公园'}
110,景区评论-1111,渔港公园,过去，这里是一片风尘滚滚的土地，现在成了湛江的第九个景点，是人们休闲的好去处。真是变化得快呀！最引人注目的是渔港公园的大门的右边是一座古堡式的钟塔,2018,{'渔港公园'},{'渔港公园'}
111,景区评论-1112,鹤地水库风景区,这个是全国三大人工水库之一，里面景色宜人，空气清新，还有建库历史展馆，都是免费开放。出了展馆继续沿着水库坝边走就会来到放生台，从主库区到放生台之间沿途有极具特色的鱼头汤，还可以在林中烧烤野炊活动....,2018,"{'放生台', '放生', '建库历史展馆'}",{'建库历史展馆'}
112,景区评论-1113,海陵岛,十里银滩真的是一个很值得去的地方，超赞。并且这附近的民宿性价比也超高，还可以自己去买海鲜自己煮饭。不过前提你会做饭 现在在十里海滩可以免费游泳，不过海岸线太长，无人看管。带小孩和老人的话。还是去正规的海滨浴场，这样安全点。 十里银滩水清沙子细软。真心不错和海滩。还可以在这看日出。 第二个推荐的点。就是马尾岛。。马尾岛很多地方没有开发。一定要注意安全。还有千万别被人家坑了。那些叫你上船。。一定要留神。其实停车场走到马尾岛也不算远。沿途还可以欣赏海景。所以建议不用坐船。马尾岛相对十里海滩而言。不太适合游泳吧。水没有十里海滩清。不过在马尾岛。你可以步行到另外两座岛屿。展开探险。那里的礁石海景真的超赞！。。不过一定要注意安全。。还有他们下午五六点就会开始涨潮。一定要及时回来。不然就会很危险。。。 而且马尾岛也是看日落绝佳好地方。 海陵岛这两个地方绝对是游玩的首选。希望对你们有帮助。,2018,"{'马尾岛', '十里', '十里银滩', '银滩', '海陵岛'}","{'马尾岛', '海陵岛'}"
113,景区评论-1114,吉兆湾,休闲的好地方，千万不要开车下沙滩，经常有2台车在哪开，你照着走必定陷进去，后面你懂的。谢谢一家人游客的帮助，你们的精神我非常感动，你们走时因忙着挖沙道谢都没说，再次感谢！后来还是哪当地人把车开出来了，当然是付费的，我也累得虚脱了，海鲜还不错,2018,set(),set()
114,景区评论-1115,阳春东湖公园,空气清新，环境优美！适合晨练，跑步，悠闲散步的好地方。,2018,set(),set()
115,景区评论-1116,维纳斯皇家温泉（广东阳西店）,"release time and enjoy happy,nice view on the floor, that spring water is comfortable.",2018,set(),set()
116,景区评论-1117,南三岛,美丽的海岛，人民很纯朴，海鲜美味,2018,set(),set()
117,景区评论-1118,蓝袍湾,一个没有经开发的地方，配套设施没有，人少，适合静静的看海！沙是幼沙，海天一色的！距离阳西县城四十分钟车程，适合自驾。,2018,set(),set()
118,景区评论-1119,月亮湾滨海度假区,沙滩，无敌的沙滩，繁忙的沙滩，从未见过的沙滩，繁忙指的当然不是人，而是各种各样的生物，寄居蟹啊，贝壳啊，走出去几十米也淹不过人的无敌海滨浴场……,2018,set(),set()
119,景区评论-1120,乐天温泉度假村,很不错，是一个休闲渡假的好去处。,2018,set(),set()
120,景区评论-1121,雷州古城,雷州半岛的标志之一，非常值得去游一圈,2018,{'雷州半岛'},{'雷州半岛'}
121,景区评论-1122,中国南极长城站,长城站规模还是挺大的 能到达这里不容易,2018,{'长城站'},{'长城站'}
122,景区评论-1123,马尾岛,自己包船要200，晕船晕死，就兜了一圈，下来走台阶吓死，都是老鼠蟑螂,2018,set(),set()
123,景区评论-1124,马尾岛,马尾山和马尾岛也在那边 北洛的沙滩更细更软 旁边的马尾山修有栈道和观景台 可以远眺美丽的天际线 不过这几天雾太大实在是没看到 马尾岛在西边可以看日落 在马尾山看日落会被马尾岛挡住 这个岛就是个障碍物的存在。。,2018,"{'马尾岛', '马尾山'}","{'马尾岛', '马尾山'}"
124,景区评论-1125,南三岛,"广东小岛 湛江是一个非常美丽的海滨城市，周围有许多小岛，不仅景色优美而且海产丰，到这些岛上旅游的话，不仅能够看到优美的风景，而且可以吃到非常新鲜美味的海鲜所以这次来到湛江，我选择了南三岛，喜欢海鲜的朋友们，一定要来这里哦！ 南三岛似乎是一个比较小众的景点，我去的那天游客特别少，整个岛上都是原住民，所以非常安静，可以静静的在海边漫步，这种感觉非常好，大家赶快趁着这座小岛还没有火起来的时候来这里看一看！岛上风景非常漂亮，有着干净的白沙滩，而且这里的沙滩特别柔软，光脚走在上面都没关系，海水也非常清澈，湛蓝湛蓝的。 最值得一提的就是这里的海鲜啊，我随便找了一家海边的大排档坐下，这里的海鲜味道真的非常棒，大排档的老板说,这里的的海鲜都是渔民当天早上下海打捞上来的，游客吃到的都是最新鲜的一批，而且价格也不贵，可以说性价比非常高啦！ 地址：广东湛东海岸旅游区 交通：建议租车或自驾前往，乘坐出租车也可以。 门票：免费开放 开放时间：全天开放",2018,"{'南三岛', '南三'}",{'南三岛'}
125,景区评论-1126,沙扒湾,白天到沙扒镇上或海边吃海鲜，价格确实便宜。份量足。中午到月亮湾玩水，海水干净清澈。浪大。沙滩沙细，干净。门票40价格适中。晚上继续海鲜，口味好，价格实惠。然后逛夜市，买手信。住宿民房一般100出头，干净整洁，服务周到。性价比高。第二天去闸坡大角湾，唯一比较赞的就是沙滩大。游玩项目多一点。其它的比较坑。,2018,"{'闸坡大', '沙扒镇', '角湾', '月亮湾'}",{'月亮湾'}
